;Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly;NumRepeticion
27;63015.0;4.219997;-0.0568;0.6331;-0.0546;19.2518;10.8391;6.0007;True;True;0.1704;0.418;0.1526;357.6637;76.1199;24.5248;0.046;0.5343;-0.0547;164.9205;True;True;False;0.4011;0.0;0.0;0.0;0.2151;0.1324;0.1335;0.139;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
28;63025.0;4.359997;-0.0531;0.6308;-0.0534;20.4349;10.7774;4.5954;True;True;0.1191;0.4907;0.1791;4.0768;62.5434;348.931;-0.5459;-0.0075;0.1263;177.2991;True;True;False;1.0;1.0;1.0;1.0;0.5284;0.6376;0.6943;0.699;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
29;63035.0;4.499997;-0.0558;0.6284;-0.0519;21.181;6.0354;2.4627;True;True;-0.0726;0.4731;0.2247;15.3166;36.1842;298.0637;-1.4401;-0.7505;0.3833;-147.0825;True;True;False;1.0;1.0;1.0;1.0;0.5309;0.5733;0.6022;0.5826;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
30;63045.0;4.639997;-0.0646;0.6276;-0.05;21.8623;0.9791;0.7412;True;True;-0.1501;0.3265;0.2643;15.4765;26.6731;303.1014;-0.3932;-0.8199;0.8874;-124.2382;True;True;False;1.0;1.0;1.0;1.0;0.5564;0.605;0.6335;0.6204;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
31;63055.0;4.779996;-0.0728;0.6272;-0.0513;21.7808;0.2941;1.5775;True;True;-0.0672;0.4105;0.2624;21.9921;41.7205;347.6033;0.4609;0.5217;-0.1913;-173.0768;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
32;63060.0;4.839996;-0.0724;0.6287;-0.0532;21.6268;0.4857;1.9327;True;True;-0.0565;0.431;0.2544;18.1862;50.1432;357.8293;0.187;0.2352;0.0231;-174.5314;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
33;63065.0;4.919996;-0.0695;0.629;-0.0531;21.0215;1.2892;2.6186;True;True;-0.0409;0.4239;0.2601;18.3924;51.325;3.9767;0.0706;-0.1796;0.0434;173.8927;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
34;63070.0;4.979996;-0.0643;0.6296;-0.0519;20.8954;2.4012;3.0349;True;True;-0.0388;0.4042;0.2564;22.3317;49.2147;4.6768;0.0231;-0.3999;-0.2493;172.1084;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
35;63075.0;5.059996;-0.0604;0.629;-0.0498;20.7993;2.9295;2.4119;True;True;-0.0713;0.3966;0.229;30.2403;43.3875;1.5221;-0.3377;0.0416;-0.3997;170.5212;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
36;63080.0;5.119996;-0.0581;0.6271;-0.0498;21.5795;2.6471;1.7818;True;True;-0.0962;0.388;0.2302;27.0448;38.228;334.9639;-0.4545;-0.5927;0.4369;-170.119;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
37;63085.0;5.199996;-0.0566;0.6273;-0.0505;21.9864;2.3414;1.299;True;True;-0.1164;0.3787;0.2496;15.0016;43.4323;338.9562;-0.2318;-0.1842;1.1739;-152.741;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
38;63090.0;5.259996;-0.0587;0.6275;-0.0494;21.6423;2.9799;1.4302;True;True;-0.1268;0.3796;0.2508;25.6925;48.6361;11.7236;0.4728;0.0705;-0.8065;-174.9664;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
39;63100.0;5.399996;-0.0601;0.6275;-0.051;21.9158;2.9646;1.5902;True;True;-0.0929;0.4015;0.2659;25.6375;44.831;359.4322;0.1354;0.2305;0.4809;-168.9609;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7290ffed-0d67-4b44-a676-26651b210ae4;True;3
40;63110.0;5.539996;-0.0619;0.6284;-0.0506;20.7554;3.8591;2.9427;True;True;-0.0176;0.4077;0.2272;9.8984;55.9317;335.7455;0.6005;0.1467;0.3058;-162.9059;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
41;63120.0;5.679996;-0.0632;0.6288;-0.0513;20.3765;5.4149;3.6456;True;True;0.086;0.403;0.2307;23.9517;50.8653;335.7748;0.7874;-0.3131;0.0898;-172.9329;True;True;False;0.0436;0.0;0.0;0.0;0.0;0.0;0.0112;0.0004;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
42;63130.0;5.819995;-0.0629;0.631;-0.0527;19.8349;5.4136;4.0773;True;True;0.1373;0.4013;0.2363;3.346;78.6877;359.9189;-0.3527;0.1615;0.1682;-166.5581;True;True;False;0.1771;0.0;0.0;0.0;0.1761;0.202;0.2271;0.2369;7290ffed-0d67-4b44-a676-26651b210ae4;False;3
